"";"id";"attributes.externalId";"attributes.commercialFollowUp";"attributes.centroidLongitude";"attributes.centroidLatitude"
"518";22291;2799;"Follow up";11,680947;43,883003
"519";22289;2797;"Follow up";-70,4935;-9,2667
"520";22287;2796;"Follow up";-69,560358;-10,231764
"521";21139;1605;"Follow up";-69,5603584714781;-10,231764360083
"522";22285;2795;"Follow up";3,799436;44,690299
"523";21137;1604;"To finance";-8,013781;39,704794
"524";21327;1704;"To finance";112,27168;-3,10953
"525";22283;2794;"Follow up";-0,227973;48,213076
"526";22281;2793;"Follow up";2,388524;43,439789
"527";22279;2791;"Follow up";3,721919;43,59268
"528";22277;2790;"Follow up";4,340122;45,91153
"529";22275;2788;"Follow up";105,37962;25,77696
"530";21127;1599;"Follow up";105,384492;25,794886
"531";22273;2787;"Follow up";-3,88344;48,32672
"532";22271;2786;"Follow up";2,398279;46,864871
"533";22269;2785;"Follow up";1,727894;47,761726
"534";21113;1592;"Follow up";5,58608;43,875789
"535";22267;2784;"Follow up";2,673423;50,669012
"536";22265;2783;"Follow up";2,040969;45,390219
"537";22263;2782;"Follow up";5,797056;45,519899
"538";22261;2780;"Follow up";5,174878;49,69879
"539";21253;1666;"Follow up";5,25194;49,7104
"540";21251;1665;"Follow up";0,313215;46,915371
"541";22259;2779;"Follow up";4,7258;48,0227
"542";22257;2778;"Follow up";5,166431;48,680874
"543";22255;2777;"Follow up";5,403911;49,307122
"544";22253;2776;"Follow up";-0,048556;48,618628
"545";21237;1657;"Follow up";5,596283;43,885132
"546";21315;1698;"Follow up";5,941384;43,459396
"547";22251;2775;"Follow up";3,732;50,146532
"548";22249;2774;"Follow up";6,11008065879784;50,1322012970778
"549";22247;2773;"Follow up";5,363694;50,324833
"550";22245;2772;"Follow up";-1,33132;47,158761
"551";21761;2077;"Follow up";5,5175;50,0375
"552";22243;2771;"Follow up";-123,549585;42,520823
"553";22241;2770;"Follow up";0,3936;49,107192
"554";22239;2769;"Follow up";3,539935;45,946879
"555";21725;2042;"Follow up";2,311648;43,391749
"556";22237;2767;"Follow up";0,98615;49,306847
"557";22235;2766;"Follow up";3,511167;45,907295
"558";22233;2765;"Follow up";3,950222;45,439827
"559";21363;1722;"To finance";-70,4935;-9,2667
"560";22231;2764;"Follow up";29,970667;-15,021587
"561";22229;2763;"Follow up";29,970667;-15,021587
"562";21213;1645;"To finance";106,9511;12,181
"563";21263;1671;"Follow up";3,828873;49,026493
"564";22227;2762;"Follow up";-0,840054;43,842454
"565";22225;2761;"Follow up";-0,344145;45,257003
"566";21211;1644;"Follow up";-0,559949;47,791592
"567";22223;2760;"Follow up";2,74375;48,509497
"568";22221;2758;"Follow up";-49,0789;-3,2898
"569";22219;2757;"Follow up";-49,0789;-3,2898
"570";22217;2756;"Follow up";2,570861;43,583365
"571";22215;2755;"Follow up";3,593503;45,548831
"572";21795;2112;"Follow up";2,81009849968867;49,4259538455436
"573";21209;1643;"Follow up";2,6803;48,735
"574";22213;2754;"Follow up";-1,576779;49,568861
"575";21207;1642;"Follow up";-0,790663;47,740831
"576";22211;2753;"Follow up";0,015299;47,785646
"577";22209;2752;"Follow up";6,605262;49,270285
"578";22207;2751;"Follow up";3,03427;50,675793
"579";22205;2750;"Follow up";0,876395;48,137256
"580";22203;2749;"Follow up";-3,342344;48,486212
"581";21325;1703;"Follow up";-91,9938305555556;18,0746889
"582";22201;2748;"Follow up";3,599968;45,367862
"583";21185;1631;"Follow up";2,733621;45,872054
"584";22199;2747;"Follow up";-0,95787;46,763744
"585";21241;1660;"Follow up";16,3248;49,3146
"586";22197;2746;"Follow up";16,814742773431;52,4466649490922
"587";22195;2745;"Follow up";-1,121481;47,085805
"588";21173;1624;"Follow up";0,748732;47,517738
"589";22193;2744;"Follow up";6,751724;49,083493
"590";22191;2743;"Follow up";-2,611396;47,766971
"591";21297;1689;"Follow up";-91,9938305555556;18,0746889
"592";22189;2742;"Follow up";0,271944;47,381111
"593";22187;2741;"Follow up";0,376798;49,022106
"594";21169;1621;"Follow up";2,241475;42,72494
"595";22185;2740;"Follow up";1,878427;50,094613
"596";21167;1620;"Follow up";6,572855;47,871254
"597";22183;2739;"To finance";-76,5086624906711;-6,4219398579898
"598";22181;2738;"To finance";-76,5086624906711;-6,4219398579898
"599";21321;1701;"Follow up";-0,782964;47,105938
"600";21149;1611;"Follow up";-0,901205;45,219203
"601";22179;2737;"Follow up";1,91468;45,630354
"602";21281;1681;"To finance";-5,77597777777778;34,8060056
"603";22177;2736;"Follow up";3,855769;45,929656
"604";21481;1830;"Follow up";-1,160194;47,498806
"605";22175;2735;"Follow up";4,433061;46,053798
"606";21141;1607;"Follow up";-2,264742;48,114608
"607";22173;2734;"Follow up";3,796852;49,012141
"608";22171;2733;"Follow up";3,819423;49,014103
"609";22169;2732;"Follow up";3,877852;49,031812
"610";22167;2731;"Follow up";3,230625;47,201811
"611";22165;2730;"Follow up";3,617721;45,701639
"612";22163;2728;"Follow up";3,639951;46,140147
"613";22161;2727;"Follow up";3,800902;47,216305
"614";21655;1981;"Follow up";4,649122;48,356808
"615";22159;2726;"Follow up";6,398888;48,527222
"616";22157;2725;"Follow up";6,41519;46,23428
"617";22155;2724;"Follow up";4,425033;48,264263
"618";22153;2723;"Follow up";-51,984037;0,358627
"619";21125;1598;"Follow up";6,0615526;45,3695988
"620";21123;1597;"Follow up";-16,40397;13,842164
"621";21665;1990;"Follow up";2,52177;45,702703
"622";21111;1590;"Follow up";5,92141;45,353843
"623";21265;1672;"Follow up";0,964758;43,918778
"624";22151;2722;"Follow up";3,864205;45,926483
"625";22149;2721;"Follow up";-2,893049;47,799022
"626";21771;2082;"Follow up";1,740131;46,163782
"627";21109;1589;"Follow up";1,807833;45,608659
"628";21249;1664;"Follow up";0,739539;46,727566
"629";22147;2720;"Follow up";2,071953;45,657368
"630";21247;1663;"Follow up";2,088405;45,809757
"631";21245;1662;"Follow up";1,982238;45,287584
"632";21243;1661;"To finance";33,870672;-14,206977
"633";22145;2719;"Follow up";-2,862056;47,802418
"634";22143;2717;"Follow up";6,270018;46,023593
"635";22141;2716;"Follow up";2,464475;45,757103
"636";22139;2715;"Follow up";6,88767;48,38501
"637";22137;2714;"Follow up";3,868604;49,240091
"638";21653;1979;"Follow up";4,904109;48,960891
"639";21319;1700;"Follow up";0,192411;45,068793
"640";22135;2713;"Follow up";2,446647;45,708966
"641";21223;1650;"To finance";0,81666667;7,33333333
"642";22133;2712;"To finance";-3,51667;6,168889
"643";22131;2711;"Follow up";2,452276;43,46396
"644";21477;1825;"Follow up";3,859944;45,926444
"645";22129;2710;"Follow up";8,89212;9,92849
"646";22127;2709;"Follow up";-2,819989;48,100388
"647";22125;2708;"Follow up";11,028001;42,697662
"648";22123;2707;"Follow up";5,72819;49,24858
"649";21289;1685;"To finance";98,2616670992016;4,04504100618673
"650";22121;2705;"Follow up";5,420384;48,719167
"651";21613;1947;"Follow up";-0,979673;44,389639
"652";22747;3061;"Follow up";1,099669;45,46658
"653";21097;1582;"Follow up";-0,664244;46,928653
"654";22745;3060;"Follow up";5,684113;46,988739
"655";22743;3059;"Follow up";5,657187;46,974572
"656";22741;3058;"Follow up";0,788056;45,066257
"657";21293;1687;"Follow up";92,758978;26,924317
"658";21135;1603;"To finance";18,929679;47,728976
"659";21659;1986;"Follow up";2,706203;50,384398
"660";22739;3057;"Follow up";-123,718611;48,116278
"661";22737;3056;"Follow up";2,58904;44,980517
"662";22735;3055;"Follow up";5,164964;46,4518
"663";22733;3054;"Follow up";2,18045618300255;48,965578041668
"664";22731;3053;"Follow up";2,269142;48,931423
"665";22729;3052;"Follow up";5,029485;46,159978
"666";22727;3051;"Follow up";5,049944;46,278694
"667";22725;3050;"Follow up";3,373214;45,450185
"668";21595;1934;"Follow up";3,124298;44,616449
"669";22723;3049;"Follow up";5,28672;47,629797
"670";22721;3048;"Follow up";4,196293;47,114318
"671";22719;3047;"Follow up";-0,368663;45,682058
"672";22717;3046;"Follow up";-3,407468;47,974826
"673";22715;3045;"Follow up";-3,154479;48,021509
"674";22713;3044;"Follow up";4,275;49,445556
"675";22711;3043;"Follow up";-0,315437;52,162438
"676";22709;3042;"Follow up";-2,48284;48,587582
"677";22707;3041;"Follow up";0,236944;47,373611
"678";21755;2072;"Follow up";2,4459;50,707982
"679";22705;3040;"Follow up";6,153669;49,136194
"680";22703;3039;"Follow up";5,035267;46,207885
"681";22701;3038;"Follow up";-1,76101;47,919491
"682";22699;3037;"Follow up";4,6529;46,1845
"683";22697;3036;"Follow up";11,564361;43,814972
