,site_sqkm,country,description_reported,host_name,planting_date_reported,project_id_reported,site_id_reported,trees_planted_reported,url,geometry_reported,Top_Three_NDVI_Months,survival_rate_reported,species_planted_reported,species_count_reported,intersecting_roads_count,total_road_length_km,built_area,loss_pre_5,loss_post_3,loss_post_5,tree_cover_area_2000,tree_cover_area_2005,tree_cover_area_2010,tree_cover_area_2015,tree_cover_area_2020,cropland gain from trees,cropland loss to tree,permanent water,short vegetation after tree loss
0,1.09207210366821,,,Face The Future,1995,14,,43453.48,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.00911479128922,0.3099967258825713],[40.00912363809978,0.31151725840106437],[40.00876248361687,0.31208801518900964],[40.00854843612619,0.3158425618296721],[40.00901223082406,0.3163731966586848],[40.01014038632838,0.31742555345166124],[40.011353227768524,0.3201723718976465],[40.01187939543836,0.32161711378686186],[40.0105639284934,0.3217330477171649],[40.00791083001894,0.32174643409826786],[40.00449955393497,0.3220808964699325],[40.004084894943695,0.3205826241293365],[40.00353642261206,0.3196640246266649],[40.00339822715368,0.31877668643040724],[40.00224324522791,0.3177198625779203],[40.00210058373065,0.3167478046627184],[40.00179740735169,0.3153877338975271],[40.002368132485074,0.3127747106213893],[40.004138371707405,0.31220840165740865],[40.005498450706654,0.31219056129681605],[40.007612067269534,0.3104247765613738],[40.00911479128922,0.3099967258825713]]]}","[5, 12, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
1,0.324409168675155,,,Face The Future,1995,16,,12908.2,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.00791083001894,0.32174643409826786],[40.008744633306584,0.3291485182562612],[40.007326691088764,0.3289924669778372],[40.00671130739489,0.32771273494947056],[40.00581499683648,0.3275566332129816],[40.005583165911204,0.32679413957545567],[40.005930951111566,0.32552776363401853],[40.00603797960614,0.325367246821639],[40.00549398788758,0.3251175424511527],[40.00477155490184,0.3253360351888813],[40.004334583262235,0.3247831022290964],[40.00452633128677,0.3241275702937765],[40.00420531546617,0.323128757183332],[40.004432688799845,0.3220987317308824],[40.00791083001894,0.32174643409826786]]]}","[12, 5, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
2,0.646180898326438,,,Face The Future,1995,19,,25711.16,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.007326691088764,0.3289924669778372],[40.01091622562039,0.32913071856821674],[40.014126810011575,0.3290994786660668],[40.015821239961475,0.32910838823639565],[40.0152638721056,0.33380386226332226],[40.01510777686761,0.3348116074514663],[40.014519167359936,0.3352619836808458],[40.013110129136145,0.3356231607430364],[40.01134876538355,0.3349765899329008],[40.0103588123273,0.3344548513882663],[40.009863868837144,0.33384845940400026],[40.01028302877304,0.33352291165904585],[40.01158957712434,0.33359428649117806],[40.01202211204766,0.33301904662727877],[40.01183923431284,0.332488428075492],[40.01207111942841,0.33185523105268766],[40.010983083553434,0.331199746938611],[40.01050599499061,0.33127551774240016],[40.00902107764969,0.3331840292478753],[40.00839686436297,0.33353185196564794],[40.00714379908564,0.333348993844179],[40.00653741730012,0.3321851859934231],[40.006403613188695,0.32959447846682427],[40.007326691088764,0.3289924669778372]]]}","[5, 12, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
3,0.619818917945616,,,Face The Future,1995,20,,24662.28,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.01187939543836,0.32161711378686186],[40.01349356866273,0.3251353622270143],[40.01475996641286,0.32614759534124116],[40.015821239961475,0.32910838823639565],[40.008744633306584,0.3291485182562612],[40.00791083001894,0.32174643409826786],[40.00957404081644,0.321626048211105],[40.01135769015317,0.32170187271292683],[40.01187939543836,0.32161711378686186]]]}","[12, 5, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
4,0.663729238897575,,,Face The Future,1995,21,,26409.48,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.00911479128922,0.3099967258825713],[40.0108672172991,0.3089309591769823],[40.01335539606471,0.3063357794056751],[40.01490267618998,0.3080926776719528],[40.015647376188674,0.3103043729315168],[40.016204740491624,0.31071905226231666],[40.01639198868854,0.31112930584388215],[40.01624482042226,0.3120300708045173],[40.01494729738928,0.31259636996738194],[40.01336424225188,0.31419274159690164],[40.00888289478219,0.31621714967403863],[40.008735708149445,0.3162171705424596],[40.008512813664495,0.31512913058791725],[40.00876248361687,0.31208801518900964],[40.00912363809978,0.31151725840106437],[40.00911479128922,0.3099967258825713]]]}","[5, 12, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
5,1.86323557033315,,,Face The Future,1995,23,,74136.48,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.01014038632838,0.31742555345166124],[40.00885166924097,0.31622161030616797],[40.01336424225188,0.31419274159690164],[40.01429175384544,0.3140500225335055],[40.014924986793766,0.3144023165901315],[40.015210326944214,0.31529410320083395],[40.01655254259395,0.31561519476967476],[40.01690926663169,0.3186340078959166],[40.015772157353425,0.32168844701728166],[40.015772157353425,0.32235287745670266],[40.017729716063016,0.32229042016969595],[40.01719467565082,0.32075652934501275],[40.017265988554136,0.3197933370277897],[40.0179438091743,0.3179963533674019],[40.01790365209668,0.31554385201355],[40.01848776663546,0.3141748814959067],[40.01847884292344,0.31243135303665703],[40.01890248294922,0.31196764582051106],[40.019887911962,0.3116778061141451],[40.02073516918139,0.31246259487991423],[40.021408489069806,0.3138538385634122],[40.02130594955943,0.31578016785240515],[40.02169833835857,0.31656495963407066],[40.02153333655827,0.3187543970325744],[40.02184995488888,0.3207788193570908],[40.021078561700875,0.3225669189721146],[40.02037846783221,0.3246046933373973],[40.019727445235276,0.3250417073184651],[40.01986568147517,0.32637500679017983],[40.020806556162455,0.3278464750349623],[40.02149764350966,0.32840833520426327],[40.02184549328244,0.328439550566966],[40.02204618697055,0.32934920308841864],[40.017832261670264,0.3290459633230562],[40.015821239961475,0.32910838823639565],[40.01457717528233,0.32596027138245587],[40.01349356866273,0.3251353622270143],[40.01113472709113,0.3196729545030403],[40.01014038632838,0.31742555345166124]]]}","[5, 12, 4]",,,,0,0,50.90588235,,,,0,0,0,0,0,0,0,0,0
6,0.842898368819574,,,Face The Future,1995,25,,33537.84,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.01592825086766,0.3291306825402752],[40.02066832208503,0.329179773645274],[40.02295133536036,0.3296791907985599],[40.02356670951078,0.32959446029417494],[40.02393677630598,0.32918868601758333],[40.02563124299715,0.3293224218799885],[40.02786084702022,0.33019644500221434],[40.02839148795341,0.33051301157068036],[40.028248731915106,0.3313022745412134],[40.02754864325614,0.3322298053505101],[40.02684416347633,0.3324126243516866],[40.026741554967224,0.33337575729936664],[40.02614405846134,0.3337012724779771],[40.025439562223426,0.33366559874118823],[40.024199923094216,0.3325954280415105],[40.02371385986284,0.33233680123850784],[40.0233170227172,0.3316723928414469],[40.02264810747091,0.3319220935408742],[40.022295879040676,0.33320633946804046],[40.021069638373234,0.3349275563504201],[40.0206147817341,0.33507025040823835],[40.020472085507585,0.33457082464470195],[40.020641551915524,0.33391531388597584],[40.020012762606925,0.3337503272778112],[40.019339505370304,0.33413829839903825],[40.018501152201,0.3355741106238554],[40.01751570046919,0.33572124591975233],[40.01620027846645,0.3348517116051377],[40.01510777686761,0.3348116074514663],[40.01592825086766,0.3291306825402752]]]}","[5, 12, 4]",,,,0,0,99,,,,0,0,0,0,0,0,0,0,0
7,0.811911142400925,,,Face The Future,1995,26,,32304.64,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.02204618697055,0.32934920308841864],[40.02175187774488,0.3282477872864353],[40.020596934939874,0.3269457593964509],[40.02076640099604,0.32610296927076554],[40.02185887810074,0.32553222809343085],[40.022420724686974,0.32388682609977565],[40.02310294873172,0.32290132347574946],[40.0247082111017,0.3233472505786725],[40.0256178590185,0.3214521311907881],[40.025158575419674,0.3206316353086361],[40.025158575419674,0.32002075449903616],[40.025965684958216,0.31948568597279586],[40.02702699559555,0.3195525833869521],[40.02724097734398,0.3209125794446964],[40.02854754871707,0.321906949104533],[40.02904249501874,0.32301282864674563],[40.02900680642744,0.3239046337673801],[40.029399223238606,0.32465375692907444],[40.02936353485907,0.3258710776218779],[40.02852078205519,0.3263705105334919],[40.028980039970044,0.3276547261025175],[40.028877513370965,0.3280159137328779],[40.02778500724768,0.32826563976600803],[40.02733020140327,0.3290192218041007],[40.027365890989905,0.3295186483188829],[40.02621990030387,0.3295632426729968],[40.02478851614377,0.32918419072775473],[40.02393677630598,0.32918868601758333],[40.02312079478228,0.32975054356622924],[40.02204618697055,0.32934920308841864]]]}","[5, 12, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
8,0.059856575065832,,,Face The Future,1995,28,,2381.4,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[40.06578994311806,0.3309455538032841],[40.066369603179155,0.3300938818500649],[40.067564650412855,0.3308652998697096],[40.06826474196291,0.3312042023051533],[40.06999487394891,0.3323457000189397],[40.06962923609259,0.3328897245473146],[40.06886674689707,0.33211829676551036],[40.067734062211116,0.33244383894101914],[40.06626706218365,0.3311462450987139],[40.06578994311806,0.3309455538032841]]]}","[5, 12, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
9,0.855173932947419,,,Face The Future,1996,8,,34027.92,https://facethefuture.com/#projects,"{""type"":""Polygon"",""coordinates"":[[[39.99476981782481,0.2818820633116766],[39.99519346812845,0.28085649193472534],[39.997271347495364,0.28077173872968075],[39.99780202333983,0.28128006744731854],[39.99840849310724,0.28122656242161387],[39.99827913428384,0.2804150104115914],[39.998542236683356,0.28009397842720807],[39.99914869899669,0.2800716833284278],[39.99972837572894,0.2796926379259339],[40.00020547141164,0.27969266442696716],[40.000361526999505,0.2794518669938565],[39.99944296217677,0.2782032966449453],[39.99985765313694,0.2781408684692456],[39.999710522739825,0.2777172900309391],[40.00018761856396,0.2769636782575313],[40.000718268710976,0.27679868490975007],[40.00104376627322,0.2769592153493774],[40.001676982013095,0.276771968115329],[40.001864275413595,0.276531134354849],[40.00339376417892,0.2768789379985264],[40.00346955640722,0.2776325746325019],[40.00457096017996,0.2788945019788995],[40.00446839197258,0.2803347411703154],[40.005551926214714,0.2829522641206052],[40.00309051601338,0.2821273362923787],[40.00325102710976,0.28290320077892595],[40.00248409339915,0.2837058255310901],[40.00063800984029,0.28513277187878117],[39.999215569999954,0.2871170574265643],[39.99866258998711,0.2875451306607508],[39.99821226224076,0.28757636080285026],[39.99733829888887,0.28712153836218196],[39.996517806386436,0.2856500046151915],[39.99664262721122,0.2824884877981513],[39.99503739914882,0.2824751523075806],[39.99476981782481,0.2818820633116766]]]}","[5, 12, 4]",,,,0,0,0,,,,0,0,0,0,0,0,0,0,0
